KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Carnivora.Canidae.Canis.lupus_familiaris	Carnivora.Felidae.Catopuma.UNK	Carnivora.Felidae.Neofelis.UNK	Carnivora.Felidae.Prionailurus.bengalensis	Carnivora.Felidae.UNK	Carnivora.Herpestidae.Herpestes.UNK	Carnivora.Mustelidae.Aonyx.cinereus	Carnivora.Mustelidae.Arctonyx.collaris	Carnivora.Mustelidae.Lutra.lutra	Carnivora.Mustelidae.Martes.flavigula	Carnivora.Mustelidae.Melogale.moschata	Carnivora.Mustelidae.Mustela.kathiah	Carnivora.Mustelidae.Mustela.UNK	Carnivora.Ursidae.Ursus.thibetanus	Carnivora.Viverridae.Arctictis.UNK	Carnivora.Viverridae.Paguma.larvata	Carnivora.Viverridae.Viverra.UNK1	Carnivora.Viverridae.Viverra.UNK2	Carnivora.Viverridae.Viverra.UNK3	Carnivora.Viverridae.Viverra.UNK4	reservecode3
WWF416	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41925	NA	NA	50	Q30	  0	  0	 53	897	  0	 15	  0	  0	  0	  0	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	BMHQNXS
WWF417	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	NA	NA	NA	50	Q33	     0	     0	     0	     0	  2308	     0	     0	     0	     0	     0	318005	     0	     0	     0	     0	     0	     0	     0	     0	     0	BMHQNXS
WWF418	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	NA	NA	NA	50	Q242	    0	    0	    0	    0	 1047	    8	    0	    0	    0	    0	54594	    0	    0	    0	    0	    0	    0	    0	    0	    0	BMHQNXS
WWF420	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41615	14	NA	50	QN 1002	  0	  0	  0	  4	 10	 37	  0	  0	  0	  0	167	  0	  0	  0	  0	 60	  0	  0	  0	  0	BMHQNXS
WWF423	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41616	14	NA	50	QN 1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BMHQNXS
WWF424	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41616	14	NA	50	QN 1010	 123	   0	   0	   0	   0	1826	   0	   0	   0	   0	9690	   0	   0	   0	   0	   0	   0	   0	   0	   0	BMHQNXS
WWF425	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41617	14	NA	50	QN 1013	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	BMHQNXS
WWF426	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41617	14	NA	50	QN 1015	   0	   0	   0	   0	   0	2133	   0	   0	   0	   0	  52	   0	   0	   0	   0	  12	   0	   0	   0	   0	BMHQNXS
WWF427	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41618	14	NA	50	QN 1018	  0	  0	  0	  0	  0	  5	  0	  0	  0	  0	347	  0	  0	  0	  0	  7	  0	  0	  0	  0	BMHQNXS
WWF428	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41618	14	NA	50	QN 1020	  0	  0	  0	  0	  0	 21	  0	  0	  0	  0	 45	  0	  0	  0	  0	474	  0	  0	  0	  0	BMHQNXS
