taxid	lineage	name	rank	20180624110755_31.48.252.71.fa
231748	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Rhacophorus;genus;Rhacophorus maximus;species;	Rhacophorus maximus	species	1
43383	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Theloderma;genus;	Theloderma	genus	1
254792	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Theloderma;genus;Theloderma stellatum;species;	Theloderma stellatum	species	1
36235	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Polypedates;genus;	Polypedates	genus	1
220444	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Polypedates;genus;Polypedates megacephalus;species;	Polypedates megacephalus	species	1
38507	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Raorchestes;genus;	Raorchestes	genus	1
230926	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Raorchestes;genus;Raorchestes parvulus;species;	Raorchestes parvulus	species	1
1890	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;	Dicroglossidae	family	8
25823	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;Limnonectes;genus;	Limnonectes	genus	6
168611	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;Limnonectes;genus;Limnonectes limborgi;species;	Limnonectes limborgi	species	2
168584	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;Limnonectes;genus;Limnonectes blythii;species;	Limnonectes blythii	species	1
168583	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;Limnonectes;genus;Limnonectes bannaensis;species;	Limnonectes bannaensis	species	1
-25824	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;Limnonectes;genus;unclassified_Limnonectes;;	unclassified_Limnonectes		2
29632	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;Nanorana;genus;	Nanorana	genus	1
187172	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;Nanorana;genus;Nanorana delacouri;species;	Nanorana delacouri	species	1
1216	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Bufonidae;family;	Bufonidae	family	3
17319	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Bufonidae;family;Duttaphrynus;genus;	Duttaphrynus	genus	1
